,rodada_id,atleta_id,apelido,clube,posicao,preco_open,pontos_num,variacao_num,ieo_gm_mean,iao_gm_mean,ied_gm_mean,ieg_gm_mean,iro_gm,irp_gm,ippc_gm_mean,ranking_clube,fase,prob_vitoria_mandante,prob_vitoria_visitante,prob_vitoria,mando,XP_mandante,XP_visitante,XP,media_movel_mandante,media_movel_visitante,media_movel,odds,points_next,binary_prob
2910,17,87391,Allano,Goiás,ATA,2.91,0.5,0.04,0.0,0.0,32.477062315771995,8.218726399827382,5.555,2.6342213241765737,0.4333399418450965,0,5,32.722730630932496,30.16898230099481,32.722730630932496,mandante,4.2,0.0,0,2.9,-0.8,2.9,0,0,1.0
2885,17,114802,Vitor Roque,Athletico-PR,ATA,13.65,2.7,-1.13,54.616470588235295,23.72549019607843,30.448711980479302,10.895859524490506,15.383529411764705,12.004025965631552,0.7606601390649173,0,8,43.93008103934686,45.517941785667155,45.517941785667155,visitante,0.0,5.268253968253968,0,9.6,11.85,9.6,0,0,1.0
1961,17,52827,David Luiz,Flamengo,ZAG,7.42,0.0,0.0,5.882352941176472,0.980392156862745,32.29876854074829,11.600045044852498,1.666470588235294,4.129876279077923,0.4091882063234411,0,9,43.93008103934686,41.30859449800376,41.30859449800376,visitante,0.0,3.86,0,4.9,1.8333333333333333,4.9,0,0,1.0
3735,17,82455,Zé Rafael,Palmeiras,MEI,9.95,9.8,1.47,11.764705882352944,0.0,43.3003379521329,10.895859524490506,4.441176470588236,6.2936444798019995,0.4003433361174303,0,9,43.93008103934686,39.84300076271127,39.84300076271127,visitante,0.0,5.322222222222221,0,3.0,9.866666666666664,3.0,0,0,1.0
3736,17,95556,Raniele,Cuiabá,MEI,12.58,9.6,0.48,11.764705882352944,3.1372549019607834,48.043312885029565,10.895859524490506,12.548235294117644,9.4409558695273,0.4899254963861746,0,13,32.09900028725026,30.16898230099481,32.09900028725026,mandante,3.2104166666666667,0.0,0,6.925000000000002,5.7,6.925000000000002,0,0,1.0
3737,17,84674,Lucas Evangelista,Bragantino,MEI,9.03,8.2,0.37,24.714117647058824,0.0,38.88956764265644,10.895859524490506,9.91235294117647,7.745200787300937,0.7619288860759291,0,8,43.93008103934686,59.926175380021455,59.926175380021455,visitante,0.0,5.31875,0,7.125,4.933333333333334,7.125,0,0,1.0
1171,17,85425,João Paulo,Santos,GOL,10.87,10.5,1.43,0.0,0.0,29.41783895136765,39.005225575247046,0.0,7.274542287923198,0.3440494627856536,0,4,30.353273442413386,30.16898230099481,30.353273442413386,mandante,2.901388888888889,0.0,0,-0.5,3.333333333333333,-0.5,0,0,1.0
3739,17,72762,Ceppelini,Cuiabá,MEI,3.84,7.9,1.23,11.328823529411766,0.0,29.982340621718865,10.895859524490506,7.920588235294117,3.9791557648700495,0.5875093472651942,0,13,32.09900028725026,30.16898230099481,32.09900028725026,mandante,2.038095238095238,0.0,0,5.0,3.233333333333333,5.0,0,0,1.0
1178,17,42234,Cássio,Corinthians,GOL,8.53,3.0,-0.89,0.0,0.0,28.722393904968925,39.93759772458353,0.0,6.59727312710746,0.4607893802614964,0,8,43.93008103934686,26.88642657966906,26.88642657966906,visitante,0.0,4.170138888888889,0,3.0,8.5,3.0,0,0,1.0
3745,17,79701,Lucas Silva,Cruzeiro,MEI,4.71,5.8,0.28,5.882352941176472,0.0,30.512240693699518,10.895859524490506,0.0,3.111106904069997,0.19328763348019795,0,6,17.572699629610252,30.16898230099481,17.572699629610252,mandante,0.0,5.10625,0,0.0,0.0,0.0,0,0,1.0
